Company,Industry,Headquarters,Reviews,Jobs,Salaries,Benefits,Interviews
Quest Global,IT Services & Consulting, Bangalore / Bengaluru,(2.5k),144,19.1k,222,317
Croma,Retail, Mumbai,(2.6k),43,7.9k,199,142
Capita,IT Services & Consulting, Pune,(2.5k),59,13.3k,350,150
Apollo Tyres,Auto Components, Chennai,(2.5k),--,9.3k,353,137
Bajaj Allianz General Insurance,Insurance, Pune,(2.6k),263,8.6k,250,101
Societe Generale Global Solution Centre,IT Services & Consulting, Bangalore / Bengaluru,(2.6k),25,20.5k,321,263
Fujitsu,IT Services & Consulting, Pune,(2.5k),31,16k,207,191
Flex,Electronics Manufacturing, Chennai,(2.5k),73,15.9k,461,193
I Process Services,n/a,Mumbai,(2.5k),--,5.2k,136,109
Nestle,FMCG, Gurgaon / Gurugram,(2.4k),69,9k,340,245
IKS Health,Analytics & KPO, Mumbai,(2.4k),34,10k,248,238
Eternal Limited,Internet, Gurgaon / Gurugram,(2.4k),3,12.7k,238,320
Sahrudaya Healthcare (Medicover Hospitals),Healthcare, Hyderabad / Secunderabad,(2.4k),38,3.1k,35,128
Shree Cement,Building Material, Beawar,(2.4k),--,9.2k,237,166
Landmark Group,Retail, Bangalore / Bengaluru,(2.4k),4,8.7k,277,152
MSN Laboratories,Pharma, Hyderabad / Secunderabad,(2.5k),46,8.5k,210,139
Yazaki,Auto Components, Pune,(2.4k),5,8k,286,143
ElasticRun,Logistics, Pune,(2.4k),22,6k,243,257
Statestreet HCL Services,BPO, Chennai,(2.4k),--,15.3k,221,212
DS Group,FMCG, Noida,(2.4k),31,6.7k,221,158
Jindal Stainless,Iron & Steel, Jajpur,(2.4k),7,9.9k,224,227
PhonePe,FinTech, Bangalore / Bengaluru,(2.6k),178,10.4k,201,326
AGS Health,Analytics & KPO, Chennai,(2.4k),36,10.5k,291,167
Tata Elxsi,IT Services & Consulting, Bangalore / Bengaluru,(2.4k),44,19.7k,237,312
VVDN Technologies,IT Services & Consulting, Gurgaon / Gurugram,(2.3k),6,11.7k,152,210
Exide Industries,Auto Components, Kolkata,(2.3k),73,7.8k,255,182
Blue Dart Express,Logistics, Mumbai,(2.3k),5,6.1k,241,104
Micro Labs,Pharma, Bangalore / Bengaluru,(2.3k),16,9.2k,222,133
Indus Towers,Hardware & Networking, Gurgaon / Gurugram,(2.3k),26,8k,216,188
Sterlite Technologies,Hardware & Networking, Aurangabad,(2.3k),78,9.9k,226,168
XpressBees,n/a,Pune,(2.3k),3,7.5k,187,173
BlackBuck,Internet, Bangalore / Bengaluru,(2.3k),6,6k,251,188
Shell,Oil & Gas, Bangalore / Bengaluru,(2.3k),8,12.6k,282,201
GATI-KWE,Logistics, Hyderabad / Secunderabad,(2.4k),5,5.2k,298,90
Blinkit,Internet, Gurgaon / Gurugram,(2.3k),1,9.4k,217,209
Suzlon Group,Power, Pune,(2.5k),29,7.3k,337,133
SRF,Chemicals, Bharuch,(2.3k),14,8k,290,186
Sammaan Capital Limited,NBFC, New Delhi,(2.3k),24,6.7k,122,105
Paras Hospital,Healthcare, Patna,(2.3k),29,2.9k,158,83
IDFC FIRST Bharat,Financial Services, Chennai,(2.4k),--,4.4k,79,113
G4S,Law Enforcement & Security, Gurgaon / Gurugram,(2.3k),35,4.8k,244,107
Voltas,Consumer Electronics & Appliances, Mumbai,(2.2k),10,8.2k,272,139
Domino's Pizza,n/a,New Delhi,(2.3k),--,3.9k,398,94
Patanjali Ayurved,FMCG, Haridwar,(2.2k),--,6k,257,115
Bajaj Electricals,Consumer Electronics & Appliances, Mumbai,(2.3k),61,7.5k,309,129
Britannia,FMCG, Bangalore / Bengaluru,(2.3k),7,7.7k,269,179
ACT Fibernet,Telecom, Hyderabad / Secunderabad,(2.2k),51,7.3k,260,141
KPMG Global Services,Management Consulting, Bangalore / Bengaluru,(2.4k),--,20.6k,32,231
McDonald's,n/a,New Delhi,(2.2k),4,4.7k,426,126
Fortis Healthcare,Healthcare, New Delhi,(2.2k),99,7.1k,151,135
KocharTech,IT Services & Consulting, Kolkata,(2.2k),42,3.7k,608,74
Ajanta Pharma,Pharma, Mumbai,(2.2k),24,8.4k,233,127
Blue Star,Consumer Electronics & Appliances, Mumbai,(2.2k),311,8.9k,258,172
Axis Direct,Financial Services, Mumbai,(2.2k),26,4.8k,230,80
NoBroker,Real Estate, Bangalore / Bengaluru,(2.2k),108,9.4k,374,247
TVS Supply Chain Solutions,n/a,Chennai,(2.3k),5,8k,209,137
Capgemini Engineering,IT Services & Consulting, Bangalore / Bengaluru,(2.2k),91,16.2k,166,373
Himalaya Wellness,n/a,Bangalore / Bengaluru,(2.2k),10,5.8k,280,119
KFintech,FinTech, Hyderabad / Secunderabad,(2.3k),11,10.1k,58,147
Foundever,BPO, Hyderabad / Secunderabad,(2.2k),93,7.6k,236,156
ZS,Management Consulting, Pune,(2.2k),168,16.8k,307,466
